id,replyCount,likeCount,publishedAt,authorName,text,authorChannelId,authorChannelUrl,isReply,isReplyTo,isReplyToName
UgynJVDE2CX7RGUju654AaABAg,0,0,"2024-09-26 08:32:10",@RubenBayihaAmos,"L' Afrique l'Asie l'Amérique l'Europe l'Océanie l'attique l'Antarctique au moment où j'écris ce mail l'ONU obsolète est rassemblée pour les mêmes guerres alors que les jeunes sont déboussolés dans le monde je pense qu'il est temps de changer ce vieux monde de la sdn les puissances nucléaires se neutralisent le dérèglement climatique chaos prévu pauvreté extrême l'immigration climatique le pire est à venir que font ils à l'ONU est ce responsable?ces malades qui nous gouvernent.",UCZb82Xq3Rq3-MoWwv1g-JPQ,http://www.youtube.com/@RubenBayihaAmos,0,,
UgzMmWpf9O_qlDGXJFN4AaABAg,0,0,"2024-09-08 12:38:16",@HamadyDiallo-e4e,"Arrêtez vos conories de démographie galopant vous êtes cons al Chine et l'Inde 1 milliards sont développés ok",UC167rz_HmhmRbySJoU99J0A,http://www.youtube.com/@HamadyDiallo-e4e,0,,
Ugy-s6q-m5FAW90FTYp4AaABAg,0,0,"2024-05-01 16:17:55",@camilojosecorreiadepina5673,"Independência total e definitiva.",UCNILz5HpQ9IpXZfYPWrizTw,http://www.youtube.com/@camilojosecorreiadepina5673,0,,
UgzRo6Xla3A7rv5ySyx4AaABAg,0,1,"2024-02-19 16:36:29",@amadoubagayogo1090,"Merci pour votre éveil de la jeunesse africaine",UC2i8rgOXvxzbUME-U9R_uOg,http://www.youtube.com/@amadoubagayogo1090,0,,
UgxBfkfRL9zcfxGNw-54AaABAg,0,0,"2024-01-16 20:42:55",@Cinquemendy9906,"For us and by us.",UCE1XcyBvSHboy-2UrPkk8WA,http://www.youtube.com/@Cinquemendy9906,0,,
UgwGfW6hY50liVzVEPV4AaABAg,0,0,"2024-01-07 11:46:49",@KamelBob-q8o,"Les voleurs de richess afriquin a bas la france",UCr2nKLbrr9klkwGnpEn-iKg,http://www.youtube.com/@KamelBob-q8o,0,,
UgxiknWapoe-yE4H6hZ4AaABAg,0,0,"2024-01-07 11:41:44",@KamelBob-q8o,"La france degage rentrez chez vous les français laissez les afriquin trankille",UCr2nKLbrr9klkwGnpEn-iKg,http://www.youtube.com/@KamelBob-q8o,0,,
Ugx9JFsxUwl0fyixX2t4AaABAg,0,0,"2024-01-07 11:39:07",@KamelBob-q8o,"Nike la france vive l'afrique Unie",UCr2nKLbrr9klkwGnpEn-iKg,http://www.youtube.com/@KamelBob-q8o,0,,
UgwdsFNiVQhnSvgl9t54AaABAg,0,1,"2024-01-03 11:58:10",@josephmamie4881,"Les Africains ont fini par comprendre les soi-disant téroistes en Afrique ce sont des mercenaires que les occidentaux ont installés depuis l affaire Lybiens avec Kadafi et la je crois c est fini pour l Occident à par quelques petits Valets à leurs service toujours telque celui de la Côte d'Ivoire et du Bénin Sénégal et aussi le Gabon mais il viendra que les peuples de ces pays vont ce révolté et ça il faut viré en premier lieu la france car elle représente une plaie pour ces pays",UCl-rjKcNg7kzvVNwAfK4DAA,http://www.youtube.com/@josephmamie4881,0,,
UgzIMjg-4tgmxLJS9Tx4AaABAg,0,0,"2023-12-29 15:25:14",@erictevoedjre3966,"Merci pour cette vidéo. Une question qu'il serait sans doute utile d'aborder: Pourquoi est-ce qu'il n'y a jamais eu (à ma connaissance) de projet industriel entre deux pays africains? Je crois que là se trouve une partie de l'explication à notre faiblesse. Le Nigeria construit des automobiles, le Bénin des T-shirts. Cotonou pourrait-il proposer à Abuja de fabriquer des pièces de rechange pour son industrie automobile? Nous savons tous ce que nous avons à reprocher à la France, mais que faisons-nous ensemble?",UCW70gGjoY6h1qCXuRtZ6gtA,http://www.youtube.com/@erictevoedjre3966,0,,
Ugyino9h60F6vnGKi3p4AaABAg,0,0,"2023-12-13 08:01:01",@aboudoumawuto196,"celui-ci va être une leçon à la France 🇫🇷. Elle doit savoir qu’elle n’a plus aucune légitimité devant le peuple africain en général.",UCzrmShW4WXuMQoU69Fx7kjA,http://www.youtube.com/@aboudoumawuto196,0,,
