id,ltTHAE_C-XI
published,"2018-01-17 16:40:31"
published_unix,1516207231
title,"Réseaux sociaux, tous accros ? - Décod'actu"
description,"Du lever au coucher, qu'on le veuille ou non, pour la plupart d'entre nous, les réseaux sociaux sont omniprésents. La majorité des 18 à 34 ans consultent leur réseau social favori dès le réveil, et plus de 80 % des adolescents consultent les réseaux sociaux avant de s'endormir... Et entre temps ? ###################################### Encore + de contenus sur http://education.francetv.fr/ Rejoignez-nous sur : Facebook : https://www.facebook.com/francetveducation/ Twitter : https://twitter.com/francetveduc/ Instagram : https://www.instagram.com/francetveduc/ Snapchat : https://www.snapchat.com/add/francetveduc/"
channelId,UCR9raBqPQisip_qnuCaUL1w
channelTitle,Lumni
duration,PT3M32S
dimension,2d
definition,hd
caption,true
allowedIn,
blockedIn,
licensedContent,1
viewCount,337900
likeCount,3140
dislikeCount,
favoriteCount,0
commentCount,105
uploadStatus,processed
privacyStatus,public
license,youtube
embeddable,1
publicStatsViewable,1
